Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,05/19/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,barn #7-shed row,Non-Racing,Thoroughbred, ,Sin Banderas,ROBERT A. RAYMOND, ,Sin Banderas-Tr. Robert Raymond-backed into wheelbarrow and sustained laceration to LR DDFT & SDFT-euthanized,Equine Death
2015,05/21/2015,EQUINE DEATH,Saratoga Racecourse (NYRA),1/8 Pole-Training Track,Training,Thoroughbred, ,Zzaj,PATRICIA E. MEADOW, ,Zzaj-Tr. Patricia E. Meadow-sustained R tibial fx while breezing-euthanized on track,Equine Death
2013,10/15/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,After Finish,Racing,Thoroughbred, ,Congaree King,JOSEPH J. RAPOSA,DEAN J. FRATES,Congaree King-Tr. J. Reposa-appeared lame after race-x-rays next day revealed Fx LF leg,Equine Death
2014,08/21/2014,FALL OF RIDER,Finger Lakes Gaming & Racetrack,at start,Racing,Thoroughbred,Showery,Officer's Shadow,TIMOTHY E. SNYDER,LUIS E. PEREZ,Officer's Shadow-Tr. Timothy S. Snyder-stumbled unseating rider Luis Perez-horse and rider uninjured, 
2013,07/20/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),3/8 pole inner turf,Racing,Thoroughbred,85* Mostly Cloudy,Read the Proposal,RICHARD A. VIOLETTE JR,ANNA (ROSIE) R. NAPRAVNIK,Read the Proposal-Tr. Rick Violette -bolted-pulled up-unruly-no injuries reported,Steward's List
2014,07/26/2014,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),After the finish,Racing,Thoroughbred, ,Ampersand,RICHARD A. VIOLETTE JR,JOSE LEZCANO,Ampersand-Tr. Richard A. Violette-took a few bad steps-vanned off-possible wrenched ankle-horse fine from incident-must qualify,Steward's List
2014,06/29/2014,STEWARDS/VETS LIST,Belmont Park (NYRA),Top of Stretch,Racing,Thoroughbred, ,Tax Alex,RICHARD A. VIOLETTE JR,JOSE LEZCANO,Tax Alex-Tr. Richard Violette-pulled up after bolting the turn-Jockey Jose Lezcano reported that horse felt fine-returned to be unsadled on his own-no injuries reported, 
2013,11/30/2013,EQUINE DEATH,Aqueduct Racetrack (NYRA), ,Training,Thoroughbred,358 Mostly Cloudy,Long Island Lee,RICHARD A. VIOLETTE JR, ,Long Island Lee-Tr. Richard Violette Jr-ambulanced back to barn after breezing-Xrays revealed spiral fx LF cannon-euthanized,Equine Death
2014,08/24/2014,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA),3/8 Pole,Racing,Thoroughbred, ,Graeme Crackers,RICHARD A. VIOLETTE JR,JOSE L. ORTIZ,Graeme Crackers-Tr. Richard A.Violette-pulled up-ambulanced off-case continues, 
2014,01/08/2014,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,3/4,Racing,Harness,Clear,TOO MUCH PEPPER,WILLIAM V. KAPINOS,JAMES J. DEVAUX,Too Much Pepper-Tr. William Kapinos-pulled up-DNF-vet check revealed atrial fibrilation-must requalify,Steward's List
2014,11/13/2014,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,1/8,Racing,Harness,cloudy,Wild Request,JULIE A. WORKING, ,Wild Request-Tr. Julie Working-took bad step went down unseating driver Jason Ryan-no injuries reported-must requalify,Steward's List
2014,03/25/2014,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,approaching 3/4,Racing,Harness,Cloudy-30,Wild Request,JULIE A. WORKING,AUSTIN T. SIEGELMAN,Wild Request-Tr. Julie Working-pulled up at 3/4-DNF-possible atrial fibrillation-must qualify,Steward's List
2015,05/16/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),Stall,Non-Racing,Thoroughbred, ,Mr Reid,STEVE N. KLESARIS, ,Mr. Reid-Tr. Steve Klesaris-found dead in stall-previous surgery for severe colic-horse predisposed to colic,Equine Death
2015,01/09/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),3/8 Pole,Racing,Thoroughbred, ,Apex,STEVE N. KLESARIS,ANGEL SAEZ-ARROYO,Apex-Tr. Steve Klesaris-fell unseating jockey Angel Arroyo-fx LF leg-euthanized on track,Equine Death
2014,12/28/2014,FALL OF RIDER,Aqueduct Racetrack (NYRA),Starting Gate,Racing,Thoroughbred, ,Lotsa Noodles,STEVE N. KLESARIS,ANGEL SAEZ-ARROYO,Lotsa Noodles-Tr. Steve Klesaris-stumbled-unseating Jockey Angel Arroyo-horse grabbed quarter in RF foot & stitches for skinned RF pastern-no other injuries reported-Arroyo treated & released, 
2014,08/26/2014,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Warm,She's Pert,BRIAN M. CROSS,BRIAN M. CROSS,She's Pert-Tr. Brian Cross-prior to warm-up horse found to have tight muscle-consistent with tying up-scratched from race,Steward's List
2013,10/04/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Finger Lakes,Non-Racing,Thoroughbred, ,King Keene,JONATHAN B. BUCKLEY, ,King Keene-Tr. Jon Buckley-developed complications from surgery-unresponsive to pain management-euthanized-2143105,Equine Death
2013,06/20/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT / after the race,Racing,Thoroughbred, ,City Glee,JONATHAN B. BUCKLEY,ANTHONY J. SUAREZ,City Glee- Tr. John Buckley - suffered an apparent cardio vascular event after being washed off-investigation follows,Equine Death
2013,08/01/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,FLRT,Non-Racing,Thoroughbred, ,Apha Galpha Gold,JONATHAN B. BUCKLEY, ,Alpha Galpha Gold - Tr. Johnthan Buckley - infection RF leg unresponsive to treatment - euthanized,Equine Death
2013,10/11/2013,DRIVER/JOCKEY INJURED,Finger Lakes Gaming & Racetrack,FLRT,Non-Racing,Thoroughbred,Clear/cool,Alpha Galpha Amber,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Alpha Galpha Amber - Tr. J. Buckley - Horse reared in chute unseating rider - rider sustained minor injury and rode later that day-no injury to horse, 
2013,09/13/2013,RACING INJURY,Finger Lakes Gaming & Racetrack,FLRT,Racing,Thoroughbred,Cloudy,Slick Daddy,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Slick Daddy-Tr. Jon Buckley-DNF race-LF bowed tendon-2182815/2007140, 
2013,09/17/2013,EQUINE DEATH,Finger Lakes Gaming & Racetrack,3/16/ pole,Racing,Thoroughbred,Clear,Shades of Sugar,JONATHAN B. BUCKLEY,GABRIEL J. SUAREZ,Shades of Sugar-Tr. Jonathan Buckley-stumbled and fell-fx R carpus (knee)-euthanized - 2182786/2007370,Euthanasia
2013,10/02/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Warm-up,Racing,Harness,Clear 57 degrees,A Sassy Professor,KIM L. CRAWFORD, ,A Sassy Professor-Tr. Kim Crawford-tied up during warm up-vet checked revealed obvious LR lameness-scratched, 
2014,06/08/2014,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Warm-Up,Racing,Harness,Warm,Jackie Goldstein,KIM L. CRAWFORD,KIM L. CRAWFORD,Jackie Goldstein-Tr. Kim Crawford-RR lameness noticed during warm-up-vet check revealed sore RR foot around heel-scratched from race,Steward's List
2013,10/05/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Cloudy,Wealth Manager,KIM L. CRAWFORD,KIM L. CRAWFORD,Wealth Manager-Tr. Kim Crawford-prior to race vet exam revealed RF lameness-scratched,Steward's List
2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,SAMSAWINNER,BRUCE A. ALDRICH JR,AUSTIN T. SIEGELMAN,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
2015,03/21/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,Overcast,Vodka Is Terror,RONALD L. CUSHING,RONALD L. CUSHING,Vodka Is Terror-Tr. Ron Cushing-stopped-DNF-walked off track-irregular heartbeat-to be evaluated-must requalify, 
2015,04/30/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Sunny,Miss Lucky S,JOHN R. CROSS,KIM L. CRAWFORD,Miss Lucky S-Tr. John Cross requested vet exam before race that revealed LR lameness-scratched from race,Steward's List
2013,08/10/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Warm-up,Racing,Harness,Clear,Bet Together,JOHN R. CROSS,KIM L. CRAWFORD,Bet Together - Tr John Cross - not staying on pace during warm-up - vet exam revealed LR lameness,Steward's List
2014,05/20/2014,EQUINE DEATH,Monticello Raceway & Mighty M Gaming,After 1/2,Racing,Harness,Clear / warm,KZ TOO,JOSEPH E. MOEYKENS,MICHAEL J. MERTON,KZ TOO-Tr. Joseph Moeykens-broke-pulled up after 1/2-ambulanced off-fx LF leg-euthanized,Equine Death
2014,08/05/2014,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,During Race,Racing,Harness,Clear,Speed O Begonia,GEORGE D. MERTON JR,STEPHANE L. BOUCHARD,Speed O Begonia - Tr. George Merton Jr.- DNF lameness-retired,Lameness
2013,11/13/2013,ACCIDENT - ON TRACK,Monticello Raceway & Mighty M Gaming,Monticello raceway,Racing,Harness,Clear,FAMOUS DUDE,WILLIAM L. PARKER JR,WILLIAM L. PARKER JR,SAMSAWINNER-Tr. Bruce Aldrich Sr.-interfered with FAMOUS DUDE-Tr.William Parker Jr.-stumbled & interfered with GOTTA LUV IT-Tr. Harold Purdy-unseated driver & TOBELL-Tr. David Russo-unseated driver-2 drivers injured-no reported injuries to horses, 
2013,04/19/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred, ,Cox's Canyon,ASSAF RONEN,JILVER CHAMAFI,Cox's Canyon - TOR Assaf Ronen - Pulled up after finish & vanned off - problem with shoe - no injuries reported, 
2014,08/02/2014,EQUINE DEATH,Saratoga Racecourse (NYRA), ,Racing,Thoroughbred,Clear - High 70s,SIR WILLIAM BRUCE,ERIC J. GUILLOT,JUNIOR R. ALVARADO,Sir William Bruce-Tr. E. Guillot-pulled up without incident-collapsed after unsaddling and died-sent for necropsy,Equine Death
2013,08/27/2013,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Bronson Blue Chip,KENNETH N. ANDERSEN,DANIEL J. CAPPELLO JR,Bronson Blue Chip - Tr. Kenneth Andersen - vet exam prior to race found the horse was not well - scratched,Steward's List
2014,08/09/2014,ACCIDENT - ON TRACK,Tioga Downs,Tioga Downs,Racing,Harness, ,Dirty Girty,JAMES E. CLOUSER JR,MICHAEL J. MERTON,Dirty Girty-Driver M. Merton-stepped into cart wheel of Southwind Trini-Driver J. Marohn/Elleofnxample-Driver B. Simpson interferred & came together with first 2 horses unseating both drivers-horses scraped up-doing fine-drivers treated & released,Accident
2014,06/06/2014,STEWARDS/VETS LIST,Tioga Downs,Start,Racing,Harness,Sunny,Dirty Girty,JAMES E. CLOUSER JR,MICHAEL J. MERTON,Dirty Girty-Tr. James Clouser-broke-did not pace-pulled up-DNF-vet check revealed no physical issue-must requalify, 
2015,05/09/2015,FALL OF HORSE,Buffalo Raceway,top of the stretch..,Racing,Harness,87 degrees and overcast.,MACH STOCKN BARREL,JAMES E. CLOUSER JR,RONALD C. BEBACK JR,Mach Stockn Barrel-Tr. James Clauser  Jr.-took bad step and went down on knees-pulled up-walked off track-no injuries reported, 
2014,08/14/2014,STEWARDS/VETS LIST,Monticello Raceway & Mighty M Gaming,After 1/2,Racing,Harness, ,rock n ahard place,JAMES E. CLOUSER JR,JAMES J. DEVAUX,Rock N Ahard Place-Tr. James Clouser  Jr.-made a break-fell-pulled up-DNF-returned to paddock-vet exam revealed lamness-must qualify,Steward's List
2014,08/20/2014,FALL OF RIDER,Saratoga Racecourse (NYRA),Fifth fence (Inner Turf),Racing,Thoroughbred, ,You're The Top,THOMAS  (CYRIL) C. MURPHY,ROSS GERAGHTY,You're The Top-Tr. C. Murphy-landed awkwardly unseating jockey Ross Geraghty-no injuries reported, 
2013,10/02/2013,ACCIDENT - TAGGED SULKY,Saratoga Gaming & Raceway,Main Track Ramp,Racing,Harness,Clear 55 degrees,Maggie O,RANDALL J. RING, ,Maggie O-Tr. Randall Ring-reared on ramp to warm up-flipped over-minor soreness rear quarters-damaged sulky-scratched-Tag# E5459261, 
2014,07/19/2014,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Sham Pain Sham,CHRISTOPHER C. SHAMBO,SHAWN T. GRAY,Sham Pain Sham-Tr. Christopher Shambo-RR lameness noted during warm up-scratched from race,Steward's List
2013,10/20/2013,FALL OF RIDER,Belmont Park (NYRA),Start,Racing,Thoroughbred,66* partly cloudy,Master Jordan,ESKEI E. BEECH,GUILLERMO RODRIGUEZ,Master Jordan-Trainer Eskei Beech-stumbled leaving gate unseating rider Guillernmo Rodriguez-no injureis reported, 
2014,07/24/2014,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Clear,Bettor on Top,EVE BERGERON,STEPHANE L. BOUCHARD,Bettor on Top-Tr. Eve Bergeron-experienced lameness LR leg prior to race-scratched,Steward's List
2013,08/10/2013,STEWARDS/VETS LIST,Saratoga Racecourse (NYRA), ,Racing,Thoroughbred,83* Clear,Rubysandpearls,JASON SERVIS,JOSEPH S. ROCCO JR,Rubysandpearls-TR. Jason Servis-eased up-never raced in contention-no injuries reported,Steward's List
2014,12/15/2014,EQUINE DEATH,Belmont Park (NYRA),Belmont TT-wire,Training,Thoroughbred, ,Deckers,JASON SERVIS, ,Deckers-Tr. Jason Servis-unraced 2 year old-fx LF sesamoids while training-euthanized,Equine Death
2015,01/26/2015,EQUINE DEATH,Belmont Park (NYRA),7/8 Pole,Training,Thoroughbred, ,Tornado City,JASON SERVIS, ,Tornado City-Tr. Jason Servis-sustained LF leg fx while breezing-euthanized on track,Equine Death
2013,11/14/2013,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,38* Clear,Marywiththeblueyes,JASON SERVIS,MANUEL FRANCO,Marywiththeblueyes-Tr. Jason Servis-pulled up-ambulanced off-horse fine from incident- a little stiff in hind end - will work off for vets,Steward's List
